CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE
L01,Baseline,"760 Dr Danister De Silva Mawatha, Colombo 00900",6.9423746,79.8788583,Laugfs,2/24/2025
L02,Biyagama,Laugfs Super Market Biyagama,6.940681,79.9870053,Laugfs,2/24/2025
L03,Boralesgamuwa,"RWR2+JMV, Horana Rd, Boralesgamuwa",6.8414636,79.9014475,Laugfs,2/24/2025
L04,Chilaw,"HQJW+F5W, Chilaw",7.5619894,79.8016569,Laugfs,2/24/2025
L05,Delgoda,"No.48/7 New Kandy Rd, 11650",6.9034382,79.9588662,Laugfs,2/24/2025
L06,DS Borella,"WV5G+7GX, Colombo 00700",6.9126878,79.8526972,Laugfs,2/24/2025
L07,Ederamulla,"XWW7+VQ, No.291/1/C, Wattala",6.9906677,79.8931709,Laugfs,2/24/2025
L08,Hanwella,"40 High Level Rd, Hanwella",6.9023337,80.0873966,Laugfs,2/24/2025
L09,Havelock Town,"252 Havelock Pl, Colombo 00500",6.8856692,79.8656434,Laugfs,2/24/2025
L10,Hokandara,"VXJ5+4V7, Hokandara Rd, Hokandara",6.8809824,79.9522953,Laugfs,2/24/2025
L11,Jubilee Post,"351 Galle Rd, Colombo 00600",6.8714624,79.8623047,Laugfs,2/24/2025
L12,Kaduwela,"WXPJ+QVF, AB10, Kaduwela",6.9367185,79.982281,Laugfs,2/24/2025
L13,Kandana,"No.241 Negombo Rd, Ragama",7.0366071,79.8988145,Laugfs,2/24/2025
L14,Katubedda,"RV4M+3PQ, Soysapura Rd, Moratuwa",6.8043891,79.8829532,Laugfs,2/24/2025
L15,Katunayaka,"5WHC+979, Katunayake-Veyangoda Rd, Katunayake",7.1770168,79.8909636,Laugfs,2/24/2025
L16,Kelaniya,"310 Waragoda Rd, Peliyagoda",6.9584414,79.9076634,Laugfs,2/24/2025
L17,Kesbawa,"107 Colombo - Horana Rd, Piliyandala",6.7948302,79.9360112,Laugfs,2/24/2025
L18,Kiribathgoda,"60 Kandy - Colombo Rd, Kiribathgoda",6.9797762,79.9293047,Laugfs,2/24/2025
L19,Kohuwala,"VV8P+J25, B84, Nugegoda",6.8588741,79.8905681,Laugfs,2/24/2025
L20,Kolonnawa,"WVJQ+XPH, Road, Kolonnawa 10600",6.9342148,79.8919811,Laugfs,2/24/2025
L21,Koswatta,"WW5P+8F2, B240, Sri Jayawardenepura Kotte",6.9067166,79.9018883,Laugfs,2/24/2025
L22,Kottawa,"364 Avissawella Rd, Pannipitiya 10230",6.8421626,79.9627581,Laugfs,2/24/2025
L23,Kurunegala,"Ambepussa - Kurunegala - Trincomalee Hwy, Trincomalee",8.5861491,81.2087188,Laugfs,2/24/2025
L24,Maharagama,"129 High Level Rd, Maharagama 10280",6.8492404,79.9237985,Laugfs,2/24/2025
L25,Mattegoda,"No 193/20H, Polgasowita",6.7899358,79.9808143,Laugfs,2/24/2025
L26,Moratuwa,"06 Old Galle Rd, Moratuwa 10400",6.7495144,79.9005636,Laugfs,2/24/2025
L27,Negombo,"6V33+222, Negombo",7.2008805,79.8550708,Laugfs,2/24/2025
L28,Negombo-2,"Rajapakse Broadway, Negombo",7.2087763,79.8390641,Laugfs,2/24/2025
L29,Nugegoda,"VV8P+J25, B84, Nugegoda",6.8588741,79.8905681,Laugfs,2/24/2025
